,Datetime,Day of the Year,Description,District,Neighborhood
2,2016-12-31 23:30:00,366,larceny from auto,southeastern,canton
5,2016-12-31 23:15:00,366,burglary,southwestern,irvington
8,2016-12-31 22:30:00,366,robbery - street,northeastern,belair-edison
11,2016-12-31 21:30:00,366,larceny,western,penn north
12,2016-12-31 21:27:00,366,common assault,southern,cherry hill
13,2016-12-31 21:25:00,366,assault by threat,western,harlem park
17,2016-12-31 20:53:00,366,common assault,southern,cherry hill
18,2016-12-31 20:45:00,366,common assault,southern,curtis bay
19,2016-12-31 20:30:00,366,robbery - carjacking,southern,hollins market
25,2016-12-31 19:54:00,366,agg. assault,eastern,middle east
28,2016-12-31 19:18:00,366,robbery - street,southeastern,canton
29,2016-12-31 19:00:00,366,common assault,southern,westport
31,2016-12-31 19:00:00,366,larceny from auto,central,inner harbor
34,2016-12-31 18:50:00,366,robbery - commercial,southwestern,irvington
36,2016-12-31 18:36:00,366,common assault,northwestern,west arlington
38,2016-12-31 18:20:00,366,common assault,central,downtown
39,2016-12-31 18:00:00,366,burglary,southern,cherry hill
53,2016-12-31 16:05:00,366,burglary,northeastern,belair-edison
55,2016-12-31 16:00:00,366,larceny from auto,southeastern,highlandtown
56,2016-12-31 16:00:00,366,larceny,southern,brooklyn
57,2016-12-31 15:30:00,366,burglary,northwestern,forest park
60,2016-12-31 15:00:00,366,larceny from auto,northeastern,frankford
61,2016-12-31 15:00:00,366,larceny,southern,curtis bay
70,2016-12-31 13:35:00,366,larceny from auto,central,downtown
78,2016-12-31 12:00:00,366,burglary,northeastern,belair-edison
83,2016-12-31 11:20:00,366,common assault,eastern,oldtown
85,2016-12-31 11:00:00,366,larceny from auto,central,downtown
88,2016-12-31 10:15:00,366,larceny,southern,mount winans
89,2016-12-31 10:07:00,366,larceny,central,inner harbor
90,2016-12-31 09:51:00,366,larceny,central,downtown
91,2016-12-31 09:40:00,366,larceny,northeastern,frankford
93,2016-12-31 09:00:00,366,larceny from auto,southeastern,inner harbor
96,2016-12-31 08:45:00,366,larceny,southeastern,highlandtown
97,2016-12-31 08:15:00,366,larceny from auto,southeastern,canton
101,2016-12-30 17:30:00,365,robbery - street,southern,lakeland
103,2016-12-31 04:27:00,366,common assault,southern,brooklyn
105,2016-12-31 03:45:00,366,robbery - street,southwestern,irvington
109,2016-12-31 03:00:00,366,agg. assault,northeastern,frankford
121,2016-12-31 00:10:00,366,auto theft,central,seton hill
129,2016-12-30 23:30:00,365,agg. assault,southern,brooklyn
130,2016-12-30 23:30:00,365,auto theft,southern,cherry hill
139,2016-12-30 22:30:00,365,larceny from auto,central,downtown
143,2016-12-30 21:15:00,365,auto theft,southern,lakeland
144,2016-12-30 21:00:00,365,larceny,central,reservoir hill
146,2016-12-30 20:30:00,365,common assault,northeastern,cedonia
148,2016-12-30 20:30:00,365,larceny,central,reservoir hill
150,2016-12-30 20:00:00,365,auto theft,northeastern,frankford
159,2016-12-30 18:00:00,365,larceny from auto,southern,brooklyn
162,2016-12-30 18:00:00,365,auto theft,western,harlem park
167,2016-12-30 17:00:00,365,larceny,western,penn north
170,2016-12-30 16:44:00,365,common assault,southwestern,morrell park
171,2016-12-30 16:33:00,365,larceny,northeastern,frankford
172,2016-12-30 16:30:00,365,burglary,southern,westport
173,2016-12-30 16:30:00,365,auto theft,southeastern,canton
177,2016-12-30 15:00:00,365,assault by threat,central,upton
178,2016-12-30 15:00:00,365,burglary,southeastern,canton
179,2016-12-30 14:30:00,365,common assault,western,sandtown-winchester
180,2016-12-30 14:15:00,365,common assault,western,sandtown-winchester
182,2016-12-30 14:00:00,365,larceny,northeastern,frankford
183,2016-12-30 13:00:00,365,assault by threat,southwestern,franklintown
188,2016-12-30 11:45:00,365,burglary,northwestern,howard park
191,2016-12-30 11:25:00,365,larceny,southeastern,canton
195,2016-12-30 10:30:00,365,larceny from auto,central,inner harbor
196,2016-12-30 10:30:00,365,larceny from auto,central,inner harbor
204,2016-12-30 09:00:00,365,auto theft,southwestern,irvington
205,2016-12-30 08:25:00,365,burglary,northeastern,frankford
206,2016-12-30 08:00:00,365,larceny,western,sandtown-winchester
209,2016-12-30 06:30:00,365,burglary,northeastern,belair-edison
218,2016-12-30 03:50:00,365,auto theft,northeastern,frankford
221,2016-12-30 03:00:00,365,robbery - street,southeastern,canton
224,2016-12-30 01:42:00,365,robbery - street,central,upton
225,2016-12-30 01:30:00,365,agg. assault,central,downtown
227,2016-12-30 01:20:00,365,common assault,southwestern,beechfield
228,2016-12-30 00:30:00,365,burglary,central,upton
230,2016-12-30 00:23:00,365,robbery - street,northern,barclay
232,2016-12-30 00:10:00,365,agg. assault,northwestern,west arlington
235,2016-12-29 23:43:00,364,burglary,northeastern,frankford
236,2016-12-29 23:33:00,364,robbery - street,central,federal hill
237,2016-12-29 23:10:00,364,auto theft,western,poppleton
240,2016-12-29 22:30:00,364,common assault,southeastern,highlandtown
246,2016-12-29 21:14:00,364,robbery - street,northeastern,frankford
247,2016-12-29 21:14:00,364,robbery - street,northeastern,frankford
253,2016-12-29 21:00:00,364,auto theft,northeastern,frankford
254,2016-12-29 20:56:00,364,common assault,southern,cherry hill
255,2016-12-29 20:52:00,364,common assault,northeastern,belair-edison
256,2016-12-29 20:52:00,364,common assault,northeastern,belair-edison
