,Median Household Income,Neighborhood,Total Population
0,37302.17105,allendale,16217
1,37302.17105,irvington,16217
3,53565.0797,beechfield,12264
4,53565.0797,ten hills,12264
5,53565.0797,west hills,12264
6,40482.35965,belair-edison,17416
7,38603.93023,brooklyn,14243
8,38603.93023,curtis bay,14243
9,38603.93023,hawkins point,14243
10,103281.8322,canton,8100
11,39807.03213,cedonia,23557
12,39807.03213,frankford,23557
13,23585.14141,cherry hill,8202
20,58882.09043,cheswolde,13034
21,39124.175,dickeyville,4101
22,39124.175,franklintown,4101
23,44053.59326,dorchester,11786
24,44053.59326,ashburton,11786
25,47654.83616,downtown,6446
26,47654.83616,seton hill,6446
27,39102.05024,edmondson village,7900
28,87653.81481,fells point,9039
29,40478.627660000006,forest park,9849
30,40478.627660000006,walbrook,9849
33,34641.92857,barclay,16391
42,74875.55144,highlandtown,7250
43,50516.7081,howard park,10873
44,50516.7081,west arlington,10873
45,94380.11306,inner harbor,12855
46,94380.11306,federal hill,12855
47,65353.720310000004,lauraville,12273
48,49447.63971,loch raven,15311
51,61047.965070000006,medfield,17388
52,61047.965070000006,hampden,17388
53,61047.965070000006,woodberry,17388
54,61047.965070000006,remington,17388
57,37380.47619,morrell park,8964
58,37380.47619,violetville,8964
59,77317.78808,mount washington,5168
60,77317.78808,coldspring,5168
62,83786.96194,guilford,17464
63,83786.96194,homeland,17464
65,43762.13402,orangeville,9131
68,34231.957669999996,penn north,9668
69,34231.957669999996,reservoir hill,9668
71,30610.564889999998,arlington,11816
73,19974.005,poppleton,5086
75,19974.005,hollins market,5086
76,24696.70059,sandtown-winchester,14896
77,24696.70059,harlem park,14896
85,41249.75,westport,7119
86,41249.75,mount winans,7119
87,41249.75,lakeland,7119
88,15467.82086,oldtown,10021
89,15467.82086,middle east,10021
91,44641.92857,little italy,5407
92,19037.65385,upton,10342
93,19037.65385,druid heights,10342
