,Median Household Income,Neighborhood,Total Population
0,37302.17105,Allendale,16217
1,37302.17105,Irvington,16217
2,37302.17105,S. Hilton,16217
3,53565.0797,Beechfield,12264
4,53565.0797,Ten Hills,12264
5,53565.0797,West Hills,12264
6,40482.35965,Belair-Edison,17416
7,38603.93023,Brooklyn,14243
8,38603.93023,Curtis Bay,14243
9,38603.93023,Hawkins Point,14243
10,103281.8322,Canton,8100
11,39807.03213,Cedonia,23557
12,39807.03213,Frankford,23557
13,23585.14141,Cherry Hill,8202
14,48622.46377,Chinquapin Park,7756
15,48622.46377,Belvedere,7756
16,33108.234319999996,Claremont,8231
17,33108.234319999996,Armistead,8231
18,29828.57955,Clifton-Berea,9874
19,58882.09043,Cross-Country,13034
20,58882.09043,Cheswolde,13034
21,39124.175,Dickeyville,4101
22,39124.175,Franklintown,4101
23,44053.59326,Dorchester,11786
24,44053.59326,Ashburton,11786
25,47654.83616,Downtown,6446
26,47654.83616,Seton Hill,6446
27,39102.05024,Edmondson Village,7900
28,87653.81481,Fells Point,9039
29,40478.627660000006,Forest Park,9849
30,40478.627660000006,Walbrook,9849
31,39313.54155,Glen-Fallstaff,14914
32,34641.92857,Greater Charles Village,16391
33,34641.92857,Barclay,16391
34,39829.034,Greater Govans,10681
35,35968.39267,Greater Mondawmin,9322
36,107924.5196,Greater Roland Park,7377
37,107924.5196,Poplar Hill,7377
38,32116.65405,Greater Rosemont,19259
39,61446.604060000005,Hamilton,13002
40,54464.96226,Harford,16839
41,54464.96226,Echodale,16839
42,74875.55144,Highlandtown,7250
43,50516.7081,Howard Park,10873
44,50516.7081,West Arlington,10873
45,94380.11306,Inner Harbor,12855
46,94380.11306,Federal Hill,12855
47,65353.720310000004,Lauraville,12273
48,49447.63971,Loch Raven,15311
49,29439.41045,Madison,7781
50,29439.41045,East End,7781
51,61047.965070000006,Medfield,17388
52,61047.965070000006,Hampden,17388
53,61047.965070000006,Woodberry,17388
54,61047.965070000006,Remington,17388
55,29759.32192,Midway,9624
56,29759.32192,Coldstream,9624
57,37380.47619,Morrell Park,8964
58,37380.47619,Violetville,8964
59,77317.78808,Mount Washington,5168
60,77317.78808,Coldspring,5168
61,83786.96194,North Baltimore,17464
62,83786.96194,Guilford,17464
63,83786.96194,Homeland,17464
64,51742.828239999995,Northwood,16643
65,43762.13402,Orangeville,9131
66,43762.13402,East Highlandtown,9131
67,65203.73469,Patterson Park North & East,14549
68,34231.957669999996,Penn North,9668
69,34231.957669999996,Reservoir Hill,9668
70,30610.564889999998,Pimlico,11816
71,30610.564889999998,Arlington,11816
72,30610.564889999998,Hilltop,11816
73,19974.005,Poppleton,5086
74,19974.005,The Terraces,5086
75,19974.005,Hollins Market,5086
76,24696.70059,Sandtown-Winchester,14896
77,24696.70059,Harlem Park,14896
78,109517.9679,South Baltimore,6406
79,34040.85833,Southeastern,6260
80,26320.15845,Southern Park Heights,13284
81,25678.435709999998,Southwest Baltimore,17885
82,36383.651789999996,The Waverlies,7753
83,34785.36752,Washington Village,5503
84,34785.36752,Pigtown,5503
85,41249.75,Westport,7119
86,41249.75,Mount Winans,7119
87,41249.75,Lakeland,7119
88,15467.82086,Oldtown,10021
89,15467.82086,Middle East,10021
90,44641.92857,Harbor East,5407
91,44641.92857,Little Italy,5407
92,19037.65385,Upton,10342
93,19037.65385,Druid Heights,10342
94,44186.15447,Midtown,15020
95,25376.76287,Greenmount East,8184
